Name,Link,Buy Now Links,Detail Link
Realme C15,1MaXUOiKFS-g5bQwPT3YlIIbT_SFMS8pW,https://www.flipkart.com/realme-c15-power-silver-32-gb/p/itm70ebdb8a0fbdf?pid=MOBFUEPQCDMJSGFX&lid=LSTMOBFUEPQCDMJSGFXRX8BFA&marketplace=FLIPKART&srno=s_1_3&otracker=search&otracker1=search&fm=SEARCH&iid=b73189f4-e43c-4ea1-a3ef-7e870d4e2425.MOBFUEPQCDMJSGFX.SEARCH&ppt=sp&ppn=sp&ssid=pdfkcvyo400000001599477976697&qH=e7c76572a9a14b46,
Realme 7 Pro,1xjKaxZnoYXhtXUitxklCuqoi_4C1-YzU,https://www.flipkart.com/realme-7-pro-mirror-silver-128-gb/p/itm72f96fb9b13c3?pid=MOBFUYUNBFV7PZZV&lid=LSTMOBFUYUNBFV7PZZVX4DOZD&marketplace=FLIPKART&srno=s_1_4&otracker=AS_QueryStore_OrganicAutoSuggest_1_10_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_10_na_na_ps&fm=SEARCH&iid=e4f89d9e-3932-4b7c-9b72-e21017047fd1.MOBFUYUNBFV7PZZV.SEARCH&ppt=sp&ppn=sp&ssid=6s9bj1f17k0000001599478011427&qH=ee8e3d0c56f4f76e,
Realme 7,1kv1EyLb8zWE6VA1UYPu9bbz7MGz0DTQ-,https://www.flipkart.com/realme-7-mist-white-64-gb/p/itme55d08631f19b?pid=MOBFUYUNDSH7NMVT&lid=LSTMOBFUYUNDSH7NMVT70L13F&marketplace=FLIPKART&srno=s_1_2&otracker=search&otracker1=search&fm=SEARCH&iid=4e9489ca-aad1-4bba-8807-1448f4920ca6.MOBFUYUNDSH7NMVT.SEARCH&ppt=sp&ppn=sp&ssid=gjor8p7mpc0000001599478038026&qH=e4e3e2cc50ce3144,
Realme 6 Pro,1WGbgmJuqfJ9_toOWWq55onlth2khlVLI,https://www.flipkart.com/realme-6-pro-lightning-red-64-gb/p/itmdddfecb342592?pid=MOBFPCX72FRDVFKB&lid=LSTMOBFPCX72FRDVFKBBVZBTU&marketplace=FLIPKART&srno=s_1_2&otracker=search&otracker1=search&fm=SEARCH&iid=a0eba36a-d7cb-4b23-8bde-6f72e8a52211.MOBFPCX72FRDVFKB.SEARCH&ppt=sp&ppn=sp&ssid=7qo1hljp0w0000001599478068743&qH=78d03ade33d3b96e,
Realme X2 pro,1A-mW4jiSeVhnsWiedavFArvCWse-Virt,https://www.flipkart.com/realme-x2-pro-neptune-blue-64-gb/p/itma3203d88190a3?pid=MOBFM2WZG3BJWSBT&lid=LSTMOBFM2WZG3BJWSBTDJHSXS&marketplace=FLIPKART&srno=s_1_5&otracker=AS_QueryStore_OrganicAutoSuggest_1_13_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_13_na_na_ps&fm=SEARCH&iid=c44060f6-83bd-4bd0-a548-c9a5d02a550e.MOBFM2WZG3BJWSBT.SEARCH&ppt=sp&ppn=sp&ssid=3h5yl8mhj40000001599478107230&qH=94c74c608d340ebc,
Realme X3,1IaDer15Gpu8D1_VDmY41r7RLijFsS0JA,https://www.flipkart.com/realme-x3-arctic-white-128-gb/p/itm325a6e0c17b0a?pid=MOBFSS3Q86GGEYZA&lid=LSTMOBFSS3Q86GGEYZADP2HLD&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=c9de2d91-415c-4036-9f1b-6773a87cc948.MOBFSS3Q86GGEYZA.SEARCH&ppt=sp&ppn=sp&ssid=im5zwo2m740000001599478163432&qH=1ecb853d8732a809,
Realme X3 SuperZoom,1j18uv0MgNNlVSIDUdz1_ac34BgQUVIeC,https://www.flipkart.com/realme-x3-superzoom-arctic-white-256-gb/p/itm7e4d21f06e37e?pid=MOBFSS3QVJQSCW4R&lid=LSTMOBFSS3QVJQSCW4RZ9DI6D&marketplace=FLIPKART&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_2_10_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_2_10_na_na_ps&fm=SEARCH&iid=823804a7-b543-4f73-bf46-3738803f39b8.MOBFSS3QVJQSCW4R.SEARCH&ppt=sp&ppn=sp&ssid=8waiu4uxm80000001599478200118&qH=b6c59d2769d3b5d2,
Realme X50 Pro 5G,1BB6M99VMiQ3VZXakJDQRSjeDV6rHbfry,https://www.flipkart.com/realme-x50-pro-moss-green-128-gb/p/itm13d1770db35a3?pid=MOBFP6WYZGFBGHFE&lid=LSTMOBFP6WYZGFBGHFE2QDC38&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=439200b0-1ff3-4f18-a630-b4a8bb8bfc6d.MOBFP6WYZGFBGHFE.SEARCH&ppt=sp&ppn=sp&ssid=voysws0dds0000001599478237235&qH=77fc0bc675b781b4,
ROG phone 3,12Ny0vmp10JQ86a8kZpzQlxT8ew97oe1-,https://www.flipkart.com/asus-rog-phone-3-black-128-gb/p/itm93ba84fa7cce9?pid=MOBFTHGZEYPWHGHE&lid=LSTMOBFTHGZEYPWHGHE6FE3GU&marketplace=FLIPKART&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_11_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_11_na_na_ps&fm=SEARCH&iid=27bd59c5-83c9-46d3-91fd-84cc7a257e1c.MOBFTHGZEYPWHGHE.SEARCH&ppt=sp&ppn=sp&ssid=868f82yytc0000001599478293978&qH=c9a72c4f6ca8e0e4,
ROG phone 2,10rV7deZf2_-hRjRBt0fpoAZALJhB9gsC,https://www.flipkart.com/asus-rog-phone-ii-black-128-gb/p/itm99be8e028a908?pid=MOBFK5TPW6UFVZGR&lid=LSTMOBFK5TPW6UFVZGRIIBD2S&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=7b6e1868-e3b8-4909-b03e-a7833f2d78c8.MOBFK5TPW6UFVZGR.SEARCH&ppt=sp&ppn=sp&ssid=9bt5n1d9uo0000001599478329859&qH=a8595ec564cc34c1,
Oneplus 8 Pro,1CMGXnHrTjHkyTnxNj9C6vmPGWNDH6Nhm,https://amzn.to/32ZUm7C,
Oneplus 8,1IGzxCcJKMAiFqvUAqb8AnyXjJioUcoLW,https://amzn.to/2FcqNaC,
Oneplus 7T Pro,12YpcSQ2NcRWdNjFVZPZ2Lj3UeERhxMXS,https://amzn.to/2FhNOc4,
Oneplus 7T,1RKgbRD_VoHVIhC2fjyEPRpgFsUsyPOv0,https://amzn.to/323fHxJ,
Oneplus 7 Pro,1GCNtaSkrozkjXTXb8yFWylldo1NcOZ1h,https://amzn.to/3iaqNGL,
Oneplus Nord,18mUSIWUbOcDztw4A2DRUT83fOUmgDkOM,https://www.amazon.in/b?ie=UTF8&node=21676199031&store_ref=SB_A00974722GK2IV2E58YDM&pf_rd_p=5775ea14-b20a-49eb-bd4c-85167727c16e&aaxitk=D9Un374gEB02FFwNefbGHw&hsa_cr_id=2663646780202&lp_mat_key=oneplus%20nord&lp_query=oneplus%20nord&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_be_s_sparkle_nafd_hl,
iPhone 11 Pro Max,1qLVv7UDa1FB5QJ9nOSNr3HCqRQqZw08p,https://amzn.to/35c8CNl,
iPhone 11 Pro,1xzrnYEO3TzsqXe_Wraty507NkCgmSwZz,https://amzn.to/3i2lY2a,
iPhone 11,1dqzrag3O_3xq7wHyxw2RzaA19Vc4vj5M,https://amzn.to/2FcpDvM,
iPhone SE,1zGVZwiJTOA9p_lZV8ajybi8xGsbkeSbh,https://www.flipkart.com/apple-iphone-se-black-64-gb/p/itm832dd5963a08d?pid=MOBFRFXHCKWDAC4A&lid=LSTMOBFRFXHCKWDAC4AEQROVZ&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=4a172d70-7022-4ca6-a395-4a78c991f0d2.MOBFRFXHCKWDAC4A.SEARCH&ppt=sp&ppn=sp&ssid=lzxzi13vi80000001599478445569&qH=417360a05fc3522d,
iPhone XS Max,1K1_Hf-Yo8vOKgBTY3fDfjsaB6mrzr5kV,https://amzn.to/3bxYDTu,
iPhone XS,1JxQX1mFuIYeD-A5Ro0tm47iEKaG9C12Y,https://www.flipkart.com/apple-iphone-xs-max-space-grey-64-gb/p/itmf944egfh8mgvg?pid=MOBF944EEFJDUYH6&lid=LSTMOBF944EEFJDUYH6KPGGOK&marketplace=FLIPKART&srno=s_1_10&otracker=search&otracker1=search&fm=SEARCH&iid=e73bdfbe-1474-46ba-99ee-ec4990c7eb1a.MOBF944EEFJDUYH6.SEARCH&ppt=sp&ppn=sp&ssid=5nw9rf2k740000001599478653190&qH=25d150cd46c7b25c,
iPhone XR,1Q9wDtLg-o-6avHOAIjpUyjYtBQ4WSGXS,https://www.flipkart.com/apple-iphone-xr-black-64-gb/p/itmf9z7zxu4uqyz2?pid=MOBF9Z7ZPHGV4GNH&lid=LSTMOBF9Z7ZPHGV4GNH9IFADQ&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=64fb47d5-6ea5-4370-9846-73fc0a05d78d.MOBF9Z7ZPHGV4GNH.SEARCH&ppt=sp&ppn=sp&ssid=02gud34fcw0000001599478755145&qH=651153a0fac18d29,
Pixel 4 XL,1j8o02uPwR3hrGB8ZgHgCgKzn_7qstXmW,https://store.google.com/magazine/compare_pixel,
Pixel 4,1-r2DGb8Endhq64dZ9gK6w1AzuJ2t9Euu,https://store.google.com/magazine/compare_pixel,
Pixel 4a,15jxh0S3SslJIEqxRWD3BFuku1x8b60il,https://store.google.com/magazine/compare_pixel,
Pixel 3 XL,1xuJO1iQ8Fm0aexbDkn-YkPov4jTZNFpB,https://www.flipkart.com/google-pixel-3-xl-not-pink-64-gb/p/itmfefgvxq82gm5g?pid=MOBF9GAPHQ2YT6EA&lid=LSTMOBF9GAPHQ2YT6EA6OKLYM&marketplace=FLIPKART&srno=s_1_2&otracker=search&otracker1=search&fm=SEARCH&iid=3cc99ea3-9902-4c8f-becd-2ca7152adfa1.MOBF9GAPHQ2YT6EA.SEARCH&ppt=sp&ppn=sp&ssid=bnlv5wvwhs0000001599478937522&qH=e9dc3a8fa339db4b,
